Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score
Wii Sports,Wii,2006,Sports,Nintendo,82.54,76
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.57,82
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.78,80
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.81,89
Wii Play,Wii,2006,Misc,Nintendo,28.92,58
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.38,87
Mario Kart DS,DS,2005,Racing,Nintendo,23.22,91
Wii Fit,Wii,2007,Sports,Nintendo,22.7,80
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.86,61
Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79,80
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.12,97
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,95
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15,77
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.3,97
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,95
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29,77
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,95
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.77,88
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.67,87
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79,83
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.69,83
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.48,94
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,13.36,97
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32,88
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1,97
Mario Kart 7,3DS,2011,Racing,Nintendo,13.04,85
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.87,93
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.64,88
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13,86
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12,94
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,89
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.36,97
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01,98
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95,96
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.87,90
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.6,94
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.51,98
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.28,73
Just Dance 3,Wii,2011,Misc,Ubisoft,10.12,74
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,10.05,78
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.9,91
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.77,87
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9.72,92
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,9.49,93
Just Dance 2,Wii,2010,Misc,Ubisoft,9.44,74
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9.37,71
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9.35,94
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9.34,88
FIFA 17,PS4,2016,Sports,Electronic Arts,9.07,85
Mario Party DS,DS,2007,Misc,Nintendo,8.91,72
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8.84,96
FIFA 16,PS4,2015,Sports,Electronic Arts,8.6,82
Halo 2,X,2004,Shooter,Microsoft Game Studios,8.49,95
Wii Party,Wii,2010,Misc,Nintendo,8.39,68
Mario Party 8,Wii,2007,Misc,Nintendo,8.28,62
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,8.17,88
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,8.05,92
The Sims 3,PC,2009,Simulation,Electronic Arts,8.01,86
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,7.86,90
Pok\xc3\xa9mon Platinum Version,DS,2008,Role-Playing,Nintendo,7.72,83
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,7.69,88
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,7.68,83
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,7.54,97
Call of Duty: World at War,X360,2008,Shooter,Activision,7.42,84
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,7.41,87
Battlefield 3,X360,2011,Shooter,Electronic Arts,7.33,84
Uncharted 4: A Thiefs End,PS4,2016,Shooter,Sony Computer Entertainment,7.28,93
Mario Kart 8,WiiU,2014,Racing,Nintendo,7.23,88
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,7.2,85
Just Dance,Wii,2009,Misc,Ubisoft,7.2,49
Battlefield 3,PS3,2011,Shooter,Electronic Arts,7.18,85
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,7.16,96
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,7.16,95
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,7.13,91
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,7.07,92
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,6.9,82
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,6.83,88
Just Dance 4,Wii,2012,Misc,Ubisoft,6.76,74
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,6.75,93
Uncharted 3: Drakes Deception,PS3,2011,Action,Sony Computer Entertainment,6.74,92
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,6.69,94
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,6.67,96
Big Brain Academy,DS,2005,Misc,Nintendo,6.63,74
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,6.51,95
FIFA 14,PS3,2013,Sports,Electronic Arts,6.48,86
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,6.47,87
Assassins Creed III,PS3,2012,Action,Ubisoft,6.46,85
Halo: Combat Evolved,X,2001,Shooter,Microsoft Game Studios,6.43,97
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,6.42,92
Pok\xc3\xa9mon Emerald Version,GBA,2004,Role-Playing,Nintendo,6.41,76
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,6.4,85
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,6.35,95
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,6.34,83
Super Mario Sunshine,GC,2002,Platform,Nintendo,6.31,92
World of Warcraft,PC,2004,Role-Playing,Activision,6.31,93
Driver,PS,1999,Action,GT Interactive,6.27,87
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,6.21,91
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,6.19,73
Gears of War,X360,2006,Shooter,Microsoft Game Studios,6.09,94
FIFA 15,PS4,2014,Sports,Electronic Arts,6.08,82
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,6.05,96
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,6.03,94
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,5.99,94
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,5.95,92
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,5.89,95
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,5.82,95
Resident Evil 2,PS,1998,Action,Virgin Interactive,5.82,89
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,5.8,77
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,5.78,87
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,5.74,89
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,5.74,97
Destiny,PS4,2014,Shooter,Activision,5.66,76
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,5.64,80
Cooking Mama,DS,2006,Simulation,505 Games,5.64,67
Assassins Creed II,PS3,2009,Action,Ubisoft,5.55,91
Assassins Creed,X360,2007,Adventure,Ubisoft,5.54,81
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,5.49,92
Super Mario Advance,GBA,2001,Platform,Nintendo,5.49,84
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,5.48,96
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,5.48,81
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,5.47,93
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,5.42,66
Call of Duty: World at War,PS3,2008,Shooter,Activision,5.4,85
Tomodachi Life,3DS,2013,Simulation,Nintendo,5.39,71
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,5.34,83
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,5.3,94
Battlefield 1,PS4,2016,Shooter,Electronic Arts,5.3,89
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,5.29,84
Assassins Creed III,X360,2012,Action,Ubisoft,5.29,84
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,5.29,85
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,5.28,81
Assassins Creed II,X360,2009,Action,Ubisoft,5.27,90
Madden NFL 2004,PS2,2003,Sports,Electronic Arts,5.23,94
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,5.21,89
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,5.19,85
FIFA Soccer 13,X360,2012,Action,Electronic Arts,5.17,90
Diablo III,PC,2012,Role-Playing,Activision,5.17,88
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,5.13,68
Guitar Hero II,PS2,2006,Misc,RedOctane,5.12,92
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,5.1,80
Resident Evil 5,PS3,2009,Action,Capcom,5.09,84
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,5.08,90
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,5.07,89
Resident Evil,PS,1996,Action,Virgin Interactive,5.05,91
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,5.03,86
Tony Hawks Pro Skater,PS,1999,Sports,Activision,5.02,92
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,4.98,82
Links Crossbow Training,Wii,2007,Shooter,Nintendo,4.98,68
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,4.94,93
Uncharted: Drakes Fortune,PS3,2007,Action,Sony Computer Entertainment,4.92,88
Madden NFL 06,PS2,2005,Sports,Electronic Arts,4.91,88
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,4.85,93
Assassins Creed,PS3,2007,Adventure,Ubisoft,4.82,81
God of War III,PS3,2010,Action,Sony Computer Entertainment,4.8,92
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.8,86
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,4.79,88
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,4.76,80
Driver 2,PS,2000,Action,Atari,4.73,62
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94
Tony Hawks Pro Skater 2,PS,2000,Sports,Activision,4.68,98
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,4.67,82
Tomb Raider,PS,1996,Action,Eidos Interactive,4.63,91
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,4.62,73
Luigis Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.62,86
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.61,84
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,4.6,96
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,4.6,86
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,4.57,91
Splatoon,WiiU,2015,Shooter,Nintendo,4.54,81
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.53,91
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,4.53,85
Madden NFL 07,PS2,2006,Sports,Electronic Arts,4.49,84
Spider-Man: The Movie,PS2,2002,Action,Activision,4.48,76
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.47,93
God of War,PS2,2005,Action,Sony Computer Entertainment,4.45,94
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,77
Tony Hawks Pro Skater 3,PS2,2001,Sports,Activision,4.41,97
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,4.39,86
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,4.39,94
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.37,88
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,4.37,82
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,4.36,56
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,4.35,86
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,4.33,87
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,4.27,89
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,4.24,91
Namco Museum,GBA,2001,Misc,Namco Bandai Games,4.24,79
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,4.23,91
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,84
Assassins Creed: Revelations,PS3,2011,Action,Ubisoft,4.22,80
Daxter,PSP,2006,Platform,Sony Computer Entertainment,4.21,85
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,4.21,80
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,4.2,80
Assassins Creed: Revelations,X360,2011,Action,Ubisoft,4.2,80
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,4.19,80
Street Fighter IV,PS3,2009,Fighting,Capcom,4.17,94
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,4.14,95
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,4.14,92
Half-Life,PC,1997,Shooter,Vivendi Games,4.12,96
